"PLAYER_INDEX","NAME","DATE","POPULARITY","diff"
2088,"Jani Atanasov","202407250905",343,-77
2234,"Ali Gholizadeh","202407250905",667,-77
1041,"Patryk Klimala","202407250905",664,-81
1269,"Sebastian Musiolik","202407250905",2064,-90
2261,"Dominik Szala","202407250905",1374,-98
1411,"Rafał Leszczyński","202407250905",5002,-106
423,"Adrian Błąd","202407250905",1602,-108
1838,"Luis Fernández","202407250905",494,-109
1675,"Filip Majchrowicz","202407250905",793,-135
2449,"Lázaros Lamprou","202407250905",748,-140
111,"Marcin Cebula","202407250905",1312,-141
692,"Zoran Arsenić","202407250905",1555,-145
1214,"Filip Szymczak","202407250905",1021,-147
480,"Bartosz Nowak","202407250905",1636,-147
1859,"Maksymilian Pingot","202407250905",1244,-169
2440,"Junior Eyamba","202407250905",553,-180
1186,"Michał Rakoczy","202407250905",4812,-204
2390,"Maksymilian Stryjek","202407250905",823,-253
514,"Łukasz Bejger","202407250905",2136,-280
1582,"Yehor Matsenko","202407250905",1106,-286
1616,"Adam Zreľák","202407250905",2400,-297
2205,"Afimico Pululu","202407250905",17421,-327
951,"Arkadiusz Jędrych","202407250905",4807,-374
2446,"Kristoffer Klaesson","202407250905",1448,-394
1192,"Erik Janža","202407250905",6832,-396
1094,"Filip Marchwiński","202407250905",1057,-416
2001,"Nahuel Leiva","202407250905",8039,-431
1574,"Bartosz Salamon","202407250905",4465,-597
2430,"Jean-Pierre Nsame","202407250905",3959,-662
1539,"Iván López","202407250905",2323,-840
1360,"Kacper Chodyna","202407250905",3772,-930
1930,"John Yeboah","202407250905",2922,-942
